fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"1007",2022/10/12 16:48:00,2022/10/12 16:50:00,50,0.61,0,0,,"Short lived, weak tornado lofted considerable leaf debris.  Multiple public reports of a funnel and debris in the air heading eastbound on Highway 16 east of Highway C and near the intersection of Highways 16 and 83.",0,65,NWS Storm Survey,WI,,,621930,"1053435",Tornado,QLCS
"1008",2022/10/12 17:17:00,2022/10/12 17:23:00,40,2.43,0,0,,The tornado path started at the cemetery south of State Road 50 and tracked to the southeast toward Lake Ivanhoe.,0,65,NWS Storm Survey,WI,,,621931,"1053437",Tornado,QLCS
"1009",2022/10/12 17:17:00,2022/10/12 17:27:00,40,3.07,0,0,,Damage was mainly to trees with one large weeping willow tree being uprooted and many other hardwood trees having been topped off.  This tornado was caught on security camera near 90th and Beecher St.,0,75,NWS Storm Survey,WI,,,621932,"1053436",Tornado,QLCS
"1010",2022/10/12 17:20:00,2022/10/12 17:24:00,25,3.97,0,0,,Minor damage was found along the path.  Tornado determination was supported by multiple eyewitness reports and a tornadic debris signature on radar.,0,65,NWS Storm Survey,WI,,,621933,"1053439",Tornado,QLCS
"1011",2022/10/13 00:55:00,2022/10/13 00:56:00,100,0.38,0,0,0,"A brief tornado crossed Hwy 149 about a mile southeast of Racetrack Road, southeast of the town of McRae in Telfair County. The tornado was on the ground for less than a 1/2 mile and snapped or uprooted trees along its path.",0,,Emergency Manager,GA,,,621934,"1063264",Tornado,Supercell
"1012",2022/10/13 20:23:00,2022/10/13 20:24:00,20,0.19,0,0,0,Video and pictures were relayed by a broadcast media partner of a land spout tornado from the public. The tornado occurred near Farm to Market Road 70 near Chapman Ranch.,,,Public,TX,,,621935,"1060706",Landspout,Multicell
"1013",2022/10/16 22:00:00,2022/10/16 22:05:00,25,0.28,0,0,0,"Several pictures and videos from the public and trained spotters showed a brief landspout, lasted about 5 minutes, touching down over the open field just south of Sun Lakes. Unknown how strong it was given that it was over an open field, however, based on climatology, it was rated an EF-0. No damages or injuries were reported.",0,,Trained Spotter,AZ,,,621936,"1061368",Landspout,Multicell
"1014",2022/10/17 22:41:00,2022/10/17 22:45:00,100,0.5,0,0,142240,"A National Weather Service Melbourne damage survey confirms that a brief EF-0 tornado touched down in the Midway Estates mobile home community in Vero Beach. The tornado continued to the east-southeast for approximately 4 minutes along a 0.5 mile long track until it dissipated as it crossed into the Vero Shores residential community. The tornado had a maximum width of approximately 100 yards and peak winds estimated between 75-85 mph. Damage was first noted near the entrance to the Midway Estates community when the tornado touched down at approximately 541 PM |EST near the intersection of Douglas and Debra Lanes. Indian River Emergency Management documented 16 homes with at least some damage, with more substantial damage noted toward the southeast corner of the community. Most of these homes suffered at least some damage to their metal roofs, awnings, siding, and skirting. |Several carport and porch awnings were torn away from homes and lofted into neighboring yards, and about  portion of one home's roof was lost into the neighboring woods. ||The tornado continued into the Vero Shores residential community where damage was noted to large oak trees and several boat lift awnings. Notably, a carport overhang from a home in neighboring Midway Estates landed in a resident's driveway at the corner of 5th Ct SE. The tornado lifted at approximately 545 PM EST near the|intersection of 5th Ct SE and 22nd St SE.||Per Indian River County EM, eight residential manufactured homes sustained â€œMajorâ€ damage, nine residential homes sustained â€œMinorâ€ damage, and three residential homes were affected. No residential manufactured homes were destroyed.",0,85,NWS Storm Survey,FL,,,621937,"1054050",Tornado,Supercell
"1015",2022/10/22 23:40:00,2022/10/22 23:48:00,250,0.87,0,0,50000,"A brief, weak tornado occurred on Saturday evening northeast of Cherryville, OR. Video confirmation was obtained, as well as a storm damage survey. It did cause damage to trees, powerlines, a vehicle, one residence, and small outbuildings. Estimated wind speeds of 75 to 85 mph which rates this tornado as EF-0.",0,85,NWS Storm Survey,OR,,,621938,"1059708",Tornado,Supercell
"1016",2022/10/24 13:27:00,2022/10/24 13:33:00,50,2.9,0,0,5000,"The tornado initially broke some tree branches along State Highway 152 between Gregory Road and Banner Road, then moved east-northeast producing more tree damage and roof damage on the north side of a residence on Richland Road north of SH-152.",0,80,NWS Storm Survey,OK,,,621939,"1061448",Tornado,QLCS
"1017",2022/10/24 15:32:00,2022/10/24 15:32:00,10,0.1,0,0,0,Emergency management spotters reported a brief tornado near US Highway 177 and State Highway 59B. No damage was reported.,0,,Emergency Manager,OK,,,621940,"1061447",Tornado,QLCS
"1018",2022/10/24 22:36:00,2022/10/24 22:37:00,17,0.04,0,0,25000,"A weak tornado occurred in rural Woodburn, confirmed by video and supported by damage photos obtained from the public. Rated EF-0 with winds estimated between 61-74 mph. Damage to two residential properties.",0,75,Trained Spotter,OR,,,621941,"1059709",Tornado,Supercell
"1019",2022/10/25 01:46:00,2022/10/25 01:53:00,150,3.86,0,1,500000,"A National Weather Service storm survey team determined a tornado touched down just west of CR 234 and north of CR 239. The tornado moved southeastward producing EF-0 damage to trees and a barn and knocked down a two-story home that was still under construction near CR 310 and CR 237. As the tornado crossed this intersection it turned east and strengthened and widened. High end EF-0 damage was observed to trees and some homes just to the west of I-35. The tornado crossed I-35 south of CR 314 and north of Ronald Reagan Blvd. and strengthened further. A semi-trailer was flipped on I-35 and the driver sustained minor injuries. Nine wooden power poles were brought down on the north bound side of I-35, including one that was snapped in half. As the tornado continued east of I-35 and west of Little Road EF-1 damage was observed. Additional power poles were damaged and snapped. A home sustained roof damage and many large tree branches were snapped. A barn had a portion of the roof removed. A small, enclosed cargo trailer on the property was lofted roughly 100 yards downwind. Maximum winds were estimated at 100 mph just east of I-35. The tornado dissipated east of Little Road.",1,100,NWS Storm Survey,TX,,,621942,"1058632",Tornado,Supercell
"1020",2022/10/25 09:39:00,2022/10/25 09:40:00,170,0.44,0,0,150000,"The tornado started near the Calcasieu River near Mike Manuel Road. As it moved northeast, a tree was blown into a manufactured home and the front porch awning was ripped off. Another home had a damaged carport which fell onto a car. Several softwood trees were snapped off at the tops with a couple of hardwood trees snapped off near their bases. A third small industrial building on the property sustained damage to its roll-up shop door and a nearby parked and loaded construction trailer was pushed 4 to 6 feet to the east. The tornado lifted after this point, although its |circulation remained close to the surface as noted by bent and snapped softwood trees down Mike Manuel Road. The maximum estimated winds were 111 mph.",2,110,NWS Storm Survey,LA,,,621943,"1060889",Tornado,QLCS
"1021",2022/10/26 04:14:00,2022/10/26 04:19:00,70,1.12,0,0,20000,"A tornado touched down in a densely wooded area west of Henry Grey road in southeastern Holmes county around 1114 pm CDT. The starting point was based on a tornadic debris signature (TDS) from the Eglin Air Force Base radar, as access to this area is extremely limited. The tornado continued east just north of Sand Path Road, but was likely quite weak by the time it reached Henry Grey road. No damage was noted to homes near this intersection. The only damage noted along the path was along Barefield Lane. At this location, a small metal outbuilding was lifted and tossed into a nearby power pole. In addition, numerous fence panels were blown out. Finally, a large tree limb fell onto a vehicle. However, no structural damage to any of the surrounding manufactured homes was noted. Maximum winds were estimated at this location to be around 75 mph. The tornado likely dissipated at this point at approximately 1119 pm CDT. No additional damage was seen to the east of this location, and the TDS dissipated on radar. The tornado was rated an EF0 with max winds around 75 mph. Thanks to Holmes County Emergency management for aiding in this assessment.",0,75,NWS Storm Survey,FL,,,621944,"1054289",Tornado,Supercell
"1022",2022/10/29 20:20:00,2022/10/29 20:27:00,250,2.79,0,0,,"An NWS Storm Survey of the Moss Point tornado found damage representative of an EF-1.  The tornado touched near Grierson St and Hwy 63 in Jackson County, MS, where it snapped hardwood tree trunks. It then crossed Hwy 63 and Marvin Ave moving NE and moved northward over the marsh area and crossed Elder Ferry Rd, where it snapped a few tree trunks. It crossed I-10 and broke some branches off of nearby trees, in addition to damaging a road sign. It then lifted shortly after crossing I-10.",1,105,NWS Storm Survey,MS,,,621946,"1060965",Tornado,Supercell
"1023",2022/10/29 20:28:00,2022/10/29 20:32:00,150,1.25,0,0,5000,"Tornado touched down snapping numerous small branches on trees near the intersection of River Place Dr and River Walk Dr. It moved northwestward and snapped two oak trees as it crossed River Bluffs Dr. The most concentrated damage was found near the east end of Polly Lake Rd. In this area numerous large pine trees were snapped. It also caused damage to a home near the end of the road, tearing facia from both the front and back of the home near the eaves, tossing a small metal shelter and rolling a small out building. Based on the large snapped pine trees, the tornado is given a maximum rating of EF-1 with estimated peak winds of 104 mph. The tornado then turned more toward the north-northwest and crossed Wade-Vancleave Rd before turning more northward. It lifted as it approached the intersection of Old River Rd and Moungers Rd. Numerous large branches were snapped from several oak trees on a property just south of the intersection, but no damage was found beyond this point.",1,105,NWS Storm Survey,MS,,,621947,"1060966",Tornado,Supercell
